,AcX,AcY,AcZ,FSR A,FSR B,Gesture,Position
439,-14028.0,-6852.0,-2788.0,1213.0,0.0,0,1.0
441,-14064.0,-6864.0,-2796.0,1202.0,0.0,0,1.0
443,-14184.0,-6912.0,-2732.0,1158.0,0.0,0,1.0
445,-14140.0,-6948.0,-2656.0,1213.0,0.0,0,1.0
447,-14128.0,-6764.0,-2608.0,1214.0,0.0,0,1.0
449,-14084.0,-6756.0,-2636.0,1228.0,0.0,0,1.0
451,-14056.0,-6696.0,-2588.0,1208.0,0.0,0,1.0
453,-14112.0,-6780.0,-2840.0,1255.0,0.0,0,1.0
455,-14080.0,-6736.0,-2792.0,1216.0,0.0,0,1.0
457,-13968.0,-6724.0,-2612.0,1214.0,0.0,0,1.0
459,-13988.0,-6824.0,-2724.0,1222.0,0.0,0,1.0
461,-14036.0,-6908.0,-2748.0,1229.0,0.0,0,1.0
463,-14064.0,-6900.0,-2652.0,1264.0,0.0,0,1.0
465,-14096.0,-6856.0,-2636.0,1217.0,0.0,0,1.0
467,-14080.0,-6784.0,-2644.0,1216.0,0.0,0,1.0
469,-14060.0,-6800.0,-2716.0,1216.0,0.0,0,1.0
471,-14076.0,-6708.0,-2776.0,1228.0,0.0,0,1.0
473,-14108.0,-6708.0,-2748.0,1190.0,0.0,0,1.0
475,-14032.0,-6812.0,-2660.0,1215.0,0.0,0,1.0
477,-14120.0,-6700.0,-2824.0,1216.0,0.0,0,1.0
479,-14196.0,-6856.0,-2684.0,1214.0,0.0,0,1.0
481,-14092.0,-6780.0,-2744.0,1201.0,0.0,0,1.0
483,-14132.0,-6796.0,-2716.0,1183.0,0.0,0,1.0
485,-14244.0,-6844.0,-2640.0,1211.0,0.0,0,1.0
487,-14132.0,-6800.0,-2704.0,1215.0,0.0,0,1.0
489,-14120.0,-6736.0,-2780.0,1218.0,0.0,0,1.0
491,-13916.0,-6864.0,-2616.0,1190.0,0.0,0,1.0
493,-13960.0,-6812.0,-2752.0,1250.0,0.0,0,1.0
495,-13996.0,-6804.0,-2760.0,1219.0,0.0,0,1.0
497,-14072.0,-6732.0,-2712.0,1215.0,0.0,0,1.0
499,-14084.0,-6760.0,-2784.0,1233.0,0.0,0,1.0
501,-14080.0,-6852.0,-2728.0,1254.0,0.0,0,1.0
503,-13960.0,-6780.0,-2860.0,1217.0,0.0,0,1.0
505,-14148.0,-6816.0,-2780.0,1219.0,0.0,0,1.0
507,-14124.0,-6864.0,-2688.0,1216.0,0.0,0,1.0
509,-14112.0,-6864.0,-2620.0,1230.0,0.0,0,1.0
511,-14120.0,-6720.0,-2764.0,1262.0,0.0,0,1.0
513,-14172.0,-6840.0,-2632.0,1212.0,0.0,0,1.0
515,-14092.0,-6772.0,-2648.0,1214.0,0.0,0,1.0
517,-14180.0,-6740.0,-2700.0,1216.0,0.0,0,1.0
519,-14000.0,-6816.0,-2576.0,1235.0,0.0,0,1.0
521,-14200.0,-6776.0,-2628.0,1163.0,0.0,0,1.0
523,-14096.0,-6740.0,-2700.0,1225.0,0.0,0,1.0
525,-14048.0,-6700.0,-2692.0,1216.0,0.0,0,1.0
527,-14116.0,-6768.0,-2764.0,1216.0,0.0,0,1.0
529,-14068.0,-6664.0,-2636.0,1184.0,0.0,0,1.0
531,-14088.0,-6720.0,-2624.0,1153.0,0.0,0,1.0
533,-14168.0,-6800.0,-2776.0,1215.0,0.0,0,1.0
535,-14044.0,-6776.0,-2760.0,1217.0,0.0,0,1.0
537,-14008.0,-6800.0,-2684.0,1215.0,0.0,0,1.0
539,-14004.0,-6788.0,-2668.0,1219.0,0.0,0,1.0
541,-14036.0,-6772.0,-2688.0,1246.0,0.0,0,1.0
543,-14064.0,-6756.0,-2568.0,1215.0,0.0,0,1.0
545,-14128.0,-6720.0,-2732.0,1217.0,0.0,0,1.0
547,-14196.0,-6704.0,-2604.0,1216.0,0.0,0,1.0
549,-14116.0,-6572.0,-2788.0,1216.0,0.0,0,1.0
551,-14116.0,-6760.0,-2736.0,1260.0,0.0,0,1.0
553,-14068.0,-6756.0,-2752.0,1216.0,0.0,0,1.0
555,-14096.0,-6808.0,-2700.0,1216.0,0.0,0,1.0
557,-14196.0,-6828.0,-2760.0,1218.0,0.0,0,1.0
559,-14024.0,-6900.0,-2728.0,1218.0,0.0,0,1.0
561,-14172.0,-6724.0,-2720.0,1205.0,0.0,0,1.0
563,-13996.0,-6640.0,-2792.0,1216.0,0.0,0,1.0
565,-14112.0,-6716.0,-2720.0,1219.0,0.0,0,1.0
567,-14056.0,-6728.0,-2736.0,1214.0,0.0,0,1.0
569,-14040.0,-6860.0,-2724.0,1222.0,0.0,0,1.0
571,-14280.0,-6748.0,-2740.0,1181.0,0.0,0,1.0
573,-14220.0,-6884.0,-2832.0,1213.0,0.0,0,1.0
575,-14164.0,-6880.0,-2916.0,1217.0,0.0,0,1.0
577,-14160.0,-6860.0,-2692.0,1216.0,0.0,0,1.0
