AcX,AcY,AcZ,FSR A,FSR B
-14148,-6816,-2780,1219,0
,,,,
-14124,-6864,-2688,1216,0
,,,,
-14112,-6864,-2620,1230,0
,,,,
-14120,-6720,-2764,1262,0
,,,,
-14172,-6840,-2632,1212,0
,,,,
-14092,-6772,-2648,1214,0
,,,,
-14180,-6740,-2700,1216,0
,,,,
-14000,-6816,-2576,1235,0
,,,,
-14200,-6776,-2628,1163,0
,,,,
-14096,-6740,-2700,1225,0
,,,,
-14048,-6700,-2692,1216,0
,,,,
-14116,-6768,-2764,1216,0
,,,,
-14068,-6664,-2636,1184,0
,,,,
-14088,-6720,-2624,1153,0
,,,,
-14168,-6800,-2776,1215,0
,,,,
-14044,-6776,-2760,1217,0
,,,,
-14008,-6800,-2684,1215,0
,,,,
-14004,-6788,-2668,1219,0
,,,,
-14036,-6772,-2688,1246,0
,,,,
-14064,-6756,-2568,1215,0
,,,,
-14128,-6720,-2732,1217,0
,,,,
-14196,-6704,-2604,1216,0
,,,,
-14116,-6572,-2788,1216,0
,,,,
-14116,-6760,-2736,1260,0
,,,,
-14068,-6756,-2752,1216,0
,,,,
-14096,-6808,-2700,1216,0
,,,,
-14196,-6828,-2760,1218,0
,,,,
-14024,-6900,-2728,1218,0
,,,,
-14172,-6724,-2720,1205,0
,,,,
-13996,-6640,-2792,1216,0
,,,,
-14112,-6716,-2720,1219,0
,,,,
-14056,-6728,-2736,1214,0
,,,,
-14040,-6860,-2724,1222,0
,,,,
-14280,-6748,-2740,1181,0
,,,,
-14220,-6884,-2832,1213,0
,,,,
-14164,-6880,-2916,1217,0
,,,,
-14160,-6860,-2692,1216,0
,,,,
-14116,-6816,-2808,1216,0
,,,,
-14112,-7044,-2612,1244,0
,,,,
-14140,-6816,-2644,1209,0
,,,,
-14108,-6840,-2588,1213,0
,,,,
-14056,-6820,-2592,1215,0
,,,,
-13960,-6896,-2528,1221,0
,,,,
-14020,-6900,-2652,1259,0
,,,,
-14000,-6900,-2608,1213,0
,,,,
-14120,-6784,-2576,1218,0
,,,,
-14028,-6864,-2740,1205,0
,,,,
-14116,-6860,-2628,1233,0
,,,,
-13988,-6812,-2588,1158,0
,,,,
-14160,-6724,-2624,1218,0
,,,,
-14168,-6752,-2648,1216,0
,,,,
-14116,-6728,-2568,1217,0
,,,,
-14056,-6820,-2692,1218,0
,,,,
-14048,-6808,-2524,1167,0
,,,,
-14060,-6808,-2636,1217,0
,,,,
-14160,-6768,-2576,1218,0
,,,,
-14192,-6800,-2552,1206,0
,,,,
-14176,-6800,-2680,1222,0
,,,,
-14132,-6712,-2528,1264,0
,,,,
-14112,-6856,-2696,1216,0
,,,,
-14100,-6744,-2744,1219,0
,,,,
-14112,-6760,-2540,1211,0
,,,,
-14172,-6632,-2716,1221,0
,,,,
-13956,-6736,-2624,1265,0
,,,,
-14116,-6700,-2436,1217,0
,,,,
-14148,-6744,-2664,1213,0
,,,,
-14148,-6740,-2448,1215,0
,,,,
-14068,-6664,-2684,1214,0
,,,,
-14160,-6584,-2664,1179,0
,,,,
-14120,-6596,-2748,1214,0
,,,,
-14020,-6676,-2692,1216,0
,,,,
-14132,-6808,-2636,1215,0
,,,,
-14044,-6672,-2728,1223,0
,,,,
-14132,-6620,-2700,1168,0
,,,,
-13976,-6744,-2712,1217,0
,,,,
-14000,-6828,-2684,1219,0
,,,,
-13960,-6688,-2572,1216,0
,,,,
-14156,-6712,-2760,1216,0
,,,,
-14084,-6836,-2620,1248,0
,,,,
-14256,-6772,-2632,1217,0
,,,,
-14232,-6688,-2656,1216,0
,,,,
-14216,-6824,-2764,1216,0
,,,,
-14180,-6768,-2820,1220,0
,,,,
-14196,-6856,-2644,1214,0
,,,,
-14236,-6912,-2704,1214,0
,,,,
-14196,-6876,-2596,1215,0
,,,,
-14268,-6728,-2668,1217,0
,,,,
-14128,-6736,-2772,1209,0
,,,,
-14180,-6640,-2676,1180,0
,,,,
-14056,-6724,-2720,1216,0
,,,,
-14128,-6788,-2732,1219,0
,,,,
-14148,-6768,-2576,1209,0
,,,,
-14076,-6708,-2676,1211,0
,,,,
-14156,-6812,-2808,1191,0
,,,,
-14128,-6876,-2612,1216,0
,,,,
-14168,-6756,-2744,1222,0
,,,,
-14048,-6768,-2872,1209,0
,,,,
-14236,-6736,-2728,1214,0
,,,,
-14172,-6616,-2712,1231,0
,,,,
-14152,-6692,-2800,1216,0
,,,,
-14184,-6680,-2820,1214,0
,,,,
-14184,-6620,-2712,1216,0
,,,,
